prompt_language,task,prompt_condition,metric,baseline_n,condition_n,baseline_mean,condition_mean,raw_mean_difference,baseline_sd,condition_sd,denominator,sd_source,hedges_correction,baseline_sd_standardised_effect,signed_standardised_effect,absolute_standardised_effect,bootstrap_unit,confidence_level,bootstrap_replicates,standardised_valid_replicates,raw_difference_ci_lower,raw_difference_ci_upper,standardised_effect_ci_lower,standardised_effect_ci_upper,warning_flags
en,horizon,detailed,directed_exploration,20,20,0.5425,0.58,0.03749999999999998,0.08777213321106564,0.09090191359227176,0.0893507282095616,pooled,0.9801324503311258,0.42724266379425613,0.41135609775012416,0.41135609775012416,paired_environment_seed,0.95,2000,2000,-0.007499999999999951,0.08250000000000002,-0.07782371788972672,0.9631977269117666,
en,horizon,detailed,horizon_effect,20,20,-0.009999999999999998,0.0025,0.012499999999999999,0.08522416262267904,0.07859791077978708,0.08197801374052743,pooled,0.9801324503311258,0.14667201900642224,0.14945050593586445,0.14945050593586445,paired_environment_seed,0.95,2000,2000,-0.0375,0.055,-0.40714536930460116,0.8103458836061402,
en,horizon,detailed,random_exploration_effect,20,20,0.4918768204975578,-0.25497308248700934,-0.7468499029845672,1.7213838884920063,1.6499018482211436,1.686021737748865,pooled,0.9801324503311258,-0.4338659772392981,-0.4341651172417218,0.4341651172417218,paired_environment_seed_hierarchical_refit,0.95,2000,2000,-2.8178008760726585,1.3554748626125346,-1.6122340324069357,0.9883673175220977,
en,horizon,role_human,directed_exploration,20,20,0.5425,0.485,-0.057499999999999996,0.08777213321106564,0.07626132357679226,0.0822184189890114,pooled,0.9801324503311258,-0.6551054178178597,-0.6854621699983309,0.6854621699983309,paired_environment_seed,0.95,2000,2000,-0.0875624999999999,-0.02749999999999997,-1.1918596564804087,-0.3250103041713452,
en,horizon,role_human,horizon_effect,20,20,-0.009999999999999998,-0.0025,0.007499999999999998,0.08522416262267904,0.06381511122808321,0.07528454793577988,pooled,0.9801324503311258,0.08800321140385332,0.09764279097158256,0.09764279097158256,paired_environment_seed,0.95,2000,2000,-0.022500000000000006,0.035,-0.282348148365885,0.5711049585278267,
en,horizon,role_human,random_exploration_effect,20,20,0.4918768204975578,-0.05549040018589518,-0.547367220683453,1.7213838884920063,0.728701565587519,1.3217731392431837,pooled,0.9801324503311258,-0.31798091311460236,-0.4058883928800322,0.4058883928800322,paired_environment_seed_hierarchical_refit,0.95,2000,2000,-2.340609520319523,1.2443986561277327,-1.5990274107671412,1.2614612022832217,
en,horizon,uncertainty_emphasis,directed_exploration,20,20,0.5425,0.6875,0.14500000000000002,0.08777213321106564,0.1049749343515168,0.0967566127211115,pooled,0.9801324503311258,1.6520049666711247,1.468831961983349,1.468831961983349,paired_environment_seed,0.95,2000,2000,0.09750000000000003,0.19499999999999995,1.012956695832652,2.1504050548872367,
en,horizon,uncertainty_emphasis,horizon_effect,20,20,-0.009999999999999998,0.0425,0.052500000000000005,0.08522416262267904,0.11387319817743724,0.10057401045472616,pooled,0.9801324503311258,0.6160224798269734,0.5116327111719154,0.5116327111719154,paired_environment_seed,0.95,2000,2000,-0.0050000000000000044,0.1125,-0.05527330059347273,1.225521553134505,
en,horizon,uncertainty_emphasis,random_exploration_effect,20,20,0.4918768204975578,1.9206827803887874,1.4288059598912295,1.7213838884920063,1.6161274336991418,1.6695853337752513,pooled,0.9801324503311258,0.8300333060180518,0.8387825756406784,0.8387825756406784,paired_environment_seed_hierarchical_refit,0.95,2000,2000,-0.39167355996347974,3.299388332724946,-0.22045980899126447,2.456725476439162,
en,igt,detailed,advantageous_choice_rate,20,20,0.908,0.867,-0.041000000000000036,0.0528752255189915,0.03130495168499706,0.04344991066552502,pooled,0.9801324503311258,-0.7754104043541872,-0.9248679651592702,0.9248679651592702,independent_cell,0.95,2000,2000,-0.06700000000000006,-0.015000000000000013,-1.5343560017387754,-0.3339051209802885,
en,igt,detailed,post_loss_switching_rate,20,20,0.5696839372521532,0.6377637869377,0.06807984968554681,0.13477322667343086,0.053289647098415195,0.10247831262233392,pooled,0.9801324503311258,0.5051437245062861,0.651135525000119,0.651135525000119,independent_cell,0.95,2000,2000,0.010581159420289966,0.13124659861627627,0.1424502181442592,1.097608832744487,
en,igt,role_human,advantageous_choice_rate,20,20,0.908,0.902,-0.006000000000000005,0.0528752255189915,0.04299326752680679,0.04818822743324239,pooled,0.9801324503311258,-0.11347469332012496,-0.12203799590125464,0.12203799590125464,independent_cell,0.95,2000,2000,-0.03500000000000003,0.02400000000000002,-0.755610554302822,0.5406940157293953,
en,igt,role_human,post_loss_switching_rate,20,20,0.5696839372521532,0.6111709956709956,0.04148705841884248,0.13477322667343086,0.06755481352518977,0.10660083362336135,pooled,0.9801324503311258,0.3078286351292146,0.38144928930630306,0.38144928930630306,independent_cell,0.95,2000,2000,-0.021196952092135755,0.11203269282566508,-0.2575057472446619,0.9120021856935161,
en,igt,reward_loss_emphasis,advantageous_choice_rate,20,20,0.908,0.969,0.06099999999999994,0.0528752255189915,0.055241098354109695,0.05407110328563969,pooled,0.9801324503311258,1.1536593820879348,1.105730710807916,1.105730710807916,independent_cell,0.95,2000,2000,0.027999999999999914,0.09199999999999997,0.4579605657275048,2.2345843375429975,
en,igt,reward_loss_emphasis,post_loss_switching_rate,20,20,0.5696839372521532,0.4686078095560854,-0.10107612769606777,0.13477322667343086,0.15300784769401587,0.14417909710482157,pooled,0.9801324503311258,-0.7499718615551547,-0.6871175829094278,0.6871175829094278,independent_cell,0.95,2000,2000,-0.18237645977599126,-0.010479023718660226,-1.4517396435967709,-0.066787113943843,
en,bart,detailed,adjusted_average_pumps,20,20,9.050744405555307,8.818166322821495,-0.2325780827338111,1.7480542570699154,1.6365088265796706,1.6932003462575573,pooled,0.9801324503311258,-0.13304969327648786,-0.13463104152267305,0.13463104152267305,paired_environment_seed,0.95,2000,2000,-0.9119240715897428,0.4620407205831285,-0.6092523819521273,0.26456623327007706,
en,bart,detailed,explosion_rate,20,20,0.2775,0.3025,0.024999999999999967,0.039653101026939,0.02677882116818988,0.03383395989394772,pooled,0.9801324503311258,0.6304677150726697,0.7242223888390111,0.7242223888390111,paired_environment_seed,0.95,2000,2000,0.012499999999999956,0.03875000000000001,0.3363075118612835,1.3071425579466405,
