task,metric,language,n,language_mean,three_language_mean,centered_baseline_deviation,standardised_centered_baseline_deviation,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_ci_lower,raw_ci_upper,standardised_ci_lower,standardised_ci_upper
horizon,directed_exploration,en,20,0.5425,0.5691666666666666,-0.026666666666666616,-0.30176242892732974,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.053333333333333344,-0.0008333333333333526,-0.5880026442153361,-0.010015539327052504
horizon,directed_exploration,zh-CN,20,0.5225,0.5691666666666666,-0.046666666666666634,-0.5280842506228277,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0675,-0.030000000000000027,-0.8195335091120447,-0.3410940914472455
horizon,directed_exploration,es,20,0.6425,0.5691666666666666,0.07333333333333336,0.8298466795501587,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.050000000000000044,0.09583333333333333,0.6062579479165326,1.1155671291527702
horizon,horizon_effect,en,20,-0.009999999999999998,0.002499999999999999,-0.012499999999999997,-0.1710578273201034,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.034166666666666665,0.010833333333333337,-0.52906566319113,0.14479912742734147
horizon,horizon_effect,zh-CN,20,-2.0816681711721684e-18,0.002499999999999999,-0.0025000000000000014,-0.03421156546402071,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.025833333333333333,0.02333333333333333,-0.3751075848433552,0.3367274647076275
horizon,horizon_effect,es,20,0.017499999999999998,0.002499999999999999,0.015,0.20526939278412412,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.010000000000000002,0.03916666666666667,-0.12894678806717916,0.615304974427212
horizon,random_exploration_effect,en,20,0.2710818916466041,0.2780505112356649,-0.006968619589060754,-0.0037284723276819766,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6290939047791418,0.6978549470477496,-0.37350289686896054,0.37349468304161254
horizon,random_exploration_effect,zh-CN,20,0.2952365228192735,0.2780505112356649,0.017186011583608607,0.00919515949949323,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.42203377261825303,0.5257629602657593,-0.24102736552630993,0.2901198691425358
horizon,random_exploration_effect,es,20,0.2678331192411171,0.2780505112356649,-0.010217391994547798,-0.005466687171811224,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.8259995070629224,0.767497776632237,-0.4467290800670299,0.45071948136639295
igt,advantageous_choice_rate,en,20,0.908,0.903,0.0050000000000000044,0.11972105982894618,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.010333333333333306,0.02200000000000002,-0.3056619726944281,0.48940272358385045
igt,advantageous_choice_rate,zh-CN,20,0.9239999999999999,0.903,0.020999999999999908,0.5028284512815713,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,0.004666666666666705,0.03533333333333333,0.10366139513080758,0.9867795037443685
igt,advantageous_choice_rate,es,20,0.877,0.903,-0.026000000000000023,-0.6225495111105201,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.03633333333333333,-0.014991666666666726,-0.8568025450506417,-0.41434005163154836
