prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
en,horizon,baseline,directed_exploration,20,0.5425,0.08777213321106564,0.55,0.35,0.7
en,horizon,baseline,horizon_effect,20,-0.009999999999999998,0.08522416262267904,-0.025,-0.1,0.2
en,horizon,baseline,random_exploration_effect,20,0.2710818916466041,1.8018075093647485,-0.06574545131394527,-2.961991810079718,5.128396600689056
en,horizon,baseline,average_reward_per_trial,20,52.44683333333333,2.012150365546087,52.983333333333334,48.64,55.11333333333334
en,horizon,baseline,exploration_rate,20,0.11464285714285714,0.03248357430079904,0.11428571428571428,0.06428571428571428,0.2
en,horizon,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,baseline,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,baseline,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,baseline,switching_rate,20,0.43076923076923074,0.022647013791846197,0.43645484949832775,0.3779264214046823,0.45819397993311034
en,horizon,detailed,directed_exploration,20,0.58,0.09090191359227176,0.575,0.4,0.75
en,horizon,detailed,horizon_effect,20,0.0025,0.07859791077978708,0.0,-0.2,0.15
en,horizon,detailed,random_exploration_effect,20,-0.13166394168092138,1.7629169083881033,-0.132741586961165,-4.383964905040163,4.220657009592776
en,horizon,detailed,average_reward_per_trial,20,52.69566666666667,1.995586387315709,53.196666666666665,48.86333333333334,55.49666666666667
en,horizon,detailed,exploration_rate,20,0.08071428571428571,0.02283598644949184,0.07857142857142857,0.05714285714285714,0.1357142857142857
en,horizon,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,detailed,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,detailed,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,detailed,switching_rate,20,0.42474916387959866,0.02606483113380973,0.42474916387959866,0.3712374581939799,0.48494983277591974
en,horizon,role_human,directed_exploration,20,0.485,0.07626132357679226,0.5,0.35,0.6
en,horizon,role_human,horizon_effect,20,-0.0025,0.06381511122808321,0.0,-0.1,0.1
en,horizon,role_human,random_exploration_effect,20,0.20819706582003922,0.8048154495049881,0.36468872393789153,-1.4509792647550523,1.3999546559386031
en,horizon,role_human,average_reward_per_trial,20,52.62566666666667,1.9689644917038602,53.125,48.86333333333334,55.42333333333333
en,horizon,role_human,exploration_rate,20,0.08821428571428572,0.03279620042963571,0.08214285714285714,0.05,0.16428571428571428
en,horizon,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,role_human,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,role_human,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,role_human,switching_rate,20,0.4177257525083612,0.025048969800072325,0.41304347826086957,0.3712374581939799,0.4682274247491639
en,horizon,uncertainty_emphasis,directed_exploration,20,0.6875,0.1049749343515168,0.675,0.5,0.85
en,horizon,uncertainty_emphasis,horizon_effect,20,0.0425,0.11387319817743724,0.05,-0.15000000000000002,0.2
en,horizon,uncertainty_emphasis,random_exploration_effect,20,1.8704742392845952,2.2054275187261885,1.4068377707317041,-1.2442816254622544,5.1401692556320455
en,horizon,uncertainty_emphasis,average_reward_per_trial,20,52.165333333333336,2.026185134391823,52.68,48.483333333333334,55.056666666666665
en,horizon,uncertainty_emphasis,exploration_rate,20,0.15964285714285714,0.026552240626303493,0.15714285714285714,0.12857142857142856,0.21428571428571427
en,horizon,uncertainty_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,uncertainty_emphasis,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,uncertainty_emphasis,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,uncertainty_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,uncertainty_emphasis,switching_rate,20,0.47525083612040137,0.019946242967069677,0.47491638795986624,0.43478260869565216,0.5284280936454849
en,igt,baseline,advantageous_choice_rate,20,0.908,0.0528752255189915,0.88,0.86,1.0
en,igt,baseline,post_loss_switching_rate,20,0.5696839372521532,0.13477322667343086,0.6190476190476191,0.24242424242424243,0.6956521739130435
en,igt,baseline,average_net_outcome,20,21.5375,2.127939143866666,20.25,19.75,25.25
en,igt,baseline,deck_A_rate,20,0.017,0.011742858972247996,0.02,0.0,0.04
en,igt,baseline,deck_B_rate,20,0.07500000000000001,0.04442616583193193,0.1,0.0,0.1
en,igt,baseline,deck_C_rate,20,0.331,0.08978922687693604,0.28,0.26,0.6
en,igt,baseline,deck_D_rate,20,0.577,0.061310255002087956,0.6,0.4,0.6
en,igt,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,baseline,learning_curve_change,20,16.8,11.076765630909831,24.0,0.0,24.0
en,igt,baseline,learning_slope,20,3.4999999999999996,2.109128031351245,4.799999999999999,0.0,5.0
en,igt,baseline,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,baseline,net_score,20,81.6,10.5750451037983,76.0,72.0,100.0
en,igt,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,detailed,advantageous_choice_rate,20,0.867,0.03130495168499706,0.86,0.86,1.0
en,igt,detailed,post_loss_switching_rate,20,0.6377637869377,0.053289647098415195,0.6277056277056277,0.56,0.7391304347826086
en,igt,detailed,average_net_outcome,20,21.35,1.1073914346217801,21.375,19.75,25.0
en,igt,detailed,deck_A_rate,20,0.038,0.00894427190999916,0.04,0.0,0.04
en,igt,detailed,deck_B_rate,20,0.095,0.022360679774997897,0.1,0.0,0.1
en,igt,detailed,deck_C_rate,20,0.29000000000000004,0.02937954891990076,0.28,0.26,0.4
en,igt,detailed,deck_D_rate,20,0.577,0.01490319640741186,0.58,0.56,0.6
en,igt,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,detailed,learning_curve_change,20,22.8,5.366563145999495,24.0,0.0,24.0
en,igt,detailed,learning_slope,20,4.68,1.1171392035015153,4.8,0.0,5.2
en,igt,detailed,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,detailed,net_score,20,73.4,6.260990336999411,72.0,72.0,100.0
en,igt,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,role_human,advantageous_choice_rate,20,0.902,0.04299326752680679,0.88,0.88,1.0
en,igt,role_human,post_loss_switching_rate,20,0.6111709956709956,0.06755481352518977,0.6190476190476191,0.4642857142857143,0.7142857142857143
en,igt,role_human,average_net_outcome,20,21.5125,2.070270450168795,20.25,20.0,26.25
en,igt,role_human,deck_A_rate,20,0.013000000000000001,0.009787209698591858,0.02,0.0,0.02
en,igt,role_human,deck_B_rate,20,0.085,0.03663475485325233,0.1,0.0,0.1
en,igt,role_human,deck_C_rate,20,0.3075,0.04666510022433648,0.3,0.28,0.46
en,igt,role_human,deck_D_rate,20,0.5945,0.01820208200931103,0.6,0.54,0.64
en,igt,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,role_human,learning_curve_change,20,19.6,8.598653505361357,24.0,0.0,24.0
en,igt,role_human,learning_slope,20,3.9199999999999995,1.719730701072271,4.799999999999999,0.0,4.799999999999999
en,igt,role_human,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,role_human,net_score,20,80.4,8.598653505361357,76.0,76.0,100.0
en,igt,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,reward_loss_emphasis,advantageous_choice_rate,20,0.969,0.055241098354109695,1.0,0.86,1.0
en,igt,reward_loss_emphasis,post_loss_switching_rate,20,0.4686078095560854,0.15300784769401587,0.46413793103448275,0.16216216216216217,0.7142857142857143
en,igt,reward_loss_emphasis,average_net_outcome,20,24.2375,2.419051303822702,25.0,19.75,26.25
en,igt,reward_loss_emphasis,deck_A_rate,20,0.006,0.011424811411549588,0.0,0.0,0.04
en,igt,reward_loss_emphasis,deck_B_rate,20,0.025,0.04442616583193193,0.0,0.0,0.1
en,igt,reward_loss_emphasis,deck_C_rate,20,0.4315,0.1176200394669655,0.46,0.26,0.7
en,igt,reward_loss_emphasis,deck_D_rate,20,0.5375,0.08032008335076404,0.54,0.3,0.64
en,igt,reward_loss_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,reward_loss_emphasis,learning_curve_change,20,6.0,10.662279799663663,0.0,0.0,24.0
en,igt,reward_loss_emphasis,learning_slope,20,1.2199999999999998,2.169550038238586,0.0,0.0,5.2
en,igt,reward_loss_emphasis,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,reward_loss_emphasis,net_score,20,93.8,11.04821967082194,100.0,72.0,100.0
en,igt,reward_loss_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,baseline,adjusted_average_pumps,20,9.050744405555307,1.7480542570699154,9.345383759733037,6.111111111111111,12.533333333333333
en,bart,baseline,explosion_rate,20,0.2775,0.039653101026939,0.275,0.225,0.35
en,bart,baseline,post_explosion_adjustment,20,0.30276612276612275,1.3635049124428555,0.4318181818181818,-2.5,2.6666666666666665
en,bart,baseline,average_earning_per_balloon,20,0.3289375,0.07433617960780747,0.33687500000000004,0.20625000000000004,0.4700000000000001
en,bart,baseline,average_pumps,20,8.38125,1.502210542220329,8.587499999999999,6.125,12.1
en,bart,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,baseline,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,baseline,n_trials,20,364.15,61.0455179612549,373.5,272.0,514.0
en,bart,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,detailed,adjusted_average_pumps,20,8.818166322821495,1.6365088265796706,8.873342175066313,6.576923076923077,13.033333333333333
en,bart,detailed,explosion_rate,20,0.3025,0.02677882116818988,0.3,0.25,0.35
en,bart,detailed,post_explosion_adjustment,20,-1.0042016317016318,1.324160031124015,-1.125,-3.230769230769231,3.25
en,bart,detailed,average_earning_per_balloon,20,0.3085,0.06438550629646887,0.30562500000000004,0.21374999999999997,0.48875000000000013
en,bart,detailed,average_pumps,20,8.54875,1.4822297170852183,8.6625,6.375,12.975
en,bart,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,detailed,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,detailed,n_trials,20,369.85,59.859726378469716,374.5,281.0,549.0
en,bart,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,role_human,adjusted_average_pumps,20,7.958517549261083,1.4878651585665255,7.685344827586206,4.892857142857143,10.580645161290322
en,bart,role_human,explosion_rate,20,0.25375000000000003,0.03467423584708028,0.25,0.2,0.3
en,bart,role_human,post_explosion_adjustment,20,-0.6807431457431458,1.2344928357174463,-1.0353535353535355,-2.4166666666666665,1.5555555555555556
en,bart,role_human,average_earning_per_balloon,20,0.2980625,0.06255060451346574,0.28437500000000004,0.17124999999999999,0.41
en,bart,role_human,average_pumps,20,7.5825,1.250449919029147,7.3625,4.925,10.375
en,bart,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,role_human,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,role_human,n_trials,20,333.15,50.6840315349083,325.0,225.0,446.0
en,bart,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,risk_emphasis,adjusted_average_pumps,20,8.951332785987958,1.6592952418270028,8.860791826309068,6.576923076923077,13.166666666666666
en,bart,risk_emphasis,explosion_rate,20,0.29375,0.031282877442022995,0.2875,0.25,0.35
en,bart,risk_emphasis,post_explosion_adjustment,20,-0.1234340659340659,1.1219977494953457,-0.20714285714285713,-2.3076923076923075,2.272727272727273
en,bart,risk_emphasis,average_earning_per_balloon,20,0.3175,0.06784875789112449,0.31062499999999993,0.21375000000000002,0.4937500000000002
en,bart,risk_emphasis,average_pumps,20,8.42375,1.4880549606077973,8.412500000000001,6.125,12.825
en,bart,risk_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,risk_emphasis,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,risk_emphasis,n_trials,20,365.2,60.33380827573071,364.5,271.0,543.0
en,bart,risk_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
es,horizon,baseline,directed_exploration,20,0.6425,0.09497229512918628,0.625,0.45,0.85
es,horizon,baseline,horizon_effect,20,0.017499999999999998,0.05683540408842658,0.0,-0.1,0.1
es,horizon,baseline,random_exploration_effect,20,0.2678331192411171,2.369549409962351,0.5595466741362918,-3.601704927320105,4.472301939738912
es,horizon,baseline,average_reward_per_trial,20,52.58533333333333,1.9786501985412013,53.07666666666667,48.82333333333333,55.663333333333334
es,horizon,baseline,exploration_rate,20,0.11214285714285714,0.0336708653746909,0.10714285714285714,0.07142857142857142,0.18571428571428572
es,horizon,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
es,horizon,baseline,n_games,20,40.0,0.0,40.0,40.0,40.0
es,horizon,baseline,n_trials,20,300.0,0.0,300.0,300.0,300.0
es,horizon,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
es,horizon,baseline,switching_rate,20,0.44197324414715716,0.023101910250698222,0.4414715719063545,0.40468227424749165,0.5150501672240803
es,horizon,detailed,directed_exploration,20,0.6,0.10637569963898807,0.6,0.4,0.8
es,horizon,detailed,horizon_effect,20,0.024999999999999998,0.08958970805552212,0.05,-0.15000000000000002,0.2
es,horizon,detailed,random_exploration_effect,20,0.3698093340934615,1.6736380381416518,0.15707974004154623,-3.235773523223523,4.916959622351234
es,horizon,detailed,average_reward_per_trial,20,52.75233333333333,1.9649484316849866,53.09,49.10333333333333,55.81
es,horizon,detailed,exploration_rate,20,0.08392857142857142,0.03475207572098814,0.08214285714285714,0.02857142857142857,0.15714285714285714
es,horizon,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
es,horizon,detailed,n_games,20,40.0,0.0,40.0,40.0,40.0
es,horizon,detailed,n_trials,20,300.0,0.0,300.0,300.0,300.0
es,horizon,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
es,horizon,detailed,switching_rate,20,0.4207357859531773,0.026636770734143524,0.41638795986622074,0.38127090301003347,0.4782608695652174
es,horizon,role_human,directed_exploration,20,0.5700000000000001,0.08795932074125605,0.575,0.4,0.75
es,horizon,role_human,horizon_effect,20,0.035,0.08900029568253663,0.05,-0.1,0.2
es,horizon,role_human,random_exploration_effect,20,0.679881344391753,1.602031207744933,0.6045489270852071,-2.057288753535603,4.246915970570958
es,horizon,role_human,average_reward_per_trial,20,52.627,2.022288351209737,53.013333333333335,48.836666666666666,55.763333333333335
es,horizon,role_human,exploration_rate,20,0.09678571428571428,0.03043499526248168,0.09285714285714286,0.05,0.15714285714285714
es,horizon,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
es,horizon,role_human,n_games,20,40.0,0.0,40.0,40.0,40.0
es,horizon,role_human,n_trials,20,300.0,0.0,300.0,300.0,300.0
es,horizon,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
es,horizon,role_human,switching_rate,20,0.4342809364548495,0.025546396845037324,0.4280936454849498,0.3979933110367893,0.5016722408026756
es,horizon,uncertainty_emphasis,directed_exploration,20,0.6125,0.09301244964774169,0.6,0.4,0.8
es,horizon,uncertainty_emphasis,horizon_effect,20,0.0175,0.08626001086067757,0.0,-0.2,0.2
es,horizon,uncertainty_emphasis,random_exploration_effect,20,1.5272434228857015,2.3193114658273406,1.8317835813241947,-2.59874816570524,5.4211286152729645
es,horizon,uncertainty_emphasis,average_reward_per_trial,20,52.51916666666666,1.962353246272927,53.05,48.85,55.46333333333333
es,horizon,uncertainty_emphasis,exploration_rate,20,0.11464285714285714,0.028896180696788273,0.11071428571428571,0.06428571428571428,0.17857142857142858
es,horizon,uncertainty_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
es,horizon,uncertainty_emphasis,n_games,20,40.0,0.0,40.0,40.0,40.0
es,horizon,uncertainty_emphasis,n_trials,20,300.0,0.0,300.0,300.0,300.0
es,horizon,uncertainty_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
es,horizon,uncertainty_emphasis,switching_rate,20,0.44565217391304346,0.024954192915615233,0.4431438127090301,0.39464882943143814,0.4983277591973244
es,igt,baseline,advantageous_choice_rate,20,0.877,0.007326950970650471,0.88,0.86,0.88
es,igt,baseline,post_loss_switching_rate,20,0.6134435817805383,0.04001794303099715,0.6277056277056277,0.52,0.6666666666666666
es,igt,baseline,average_net_outcome,20,21.15,0.7669145289645007,21.0,20.25,22.0
es,igt,baseline,deck_A_rate,20,0.023,0.007326950970650465,0.02,0.02,0.04
es,igt,baseline,deck_B_rate,20,0.1,0.0,0.1,0.1,0.1
es,igt,baseline,deck_C_rate,20,0.31,0.031119464208619954,0.3,0.28,0.37
es,igt,baseline,deck_D_rate,20,0.567,0.03262223975014267,0.58,0.51,0.6
es,igt,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
es,igt,baseline,learning_curve_change,20,24.0,0.0,24.0,24.0,24.0
es,igt,baseline,learning_slope,20,4.839999999999999,0.12311740225021886,4.799999999999999,4.799999999999999,5.2
