prompt_language,task,prompt_condition,metric,baseline_n,condition_n,baseline_mean,condition_mean,raw_mean_difference,baseline_sd,condition_sd,denominator,sd_source,hedges_correction,baseline_sd_standardised_effect,signed_standardised_effect,absolute_standardised_effect,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_difference_ci_lower,raw_difference_ci_upper,standardised_effect_ci_lower,standardised_effect_ci_upper,warning_flags
en,horizon,detailed,directed_exploration,20,20,0.5425,0.58,0.03749999999999998,0.08777213321106564,0.09090191359227176,0.0893507282095616,pooled,0.9801324503311258,0.42724266379425613,0.41135609775012416,0.41135609775012416,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.007499999999999951,0.08250000000000002,-0.07782371788972672,0.9631977269117666,
en,horizon,detailed,horizon_effect,20,20,-0.009999999999999998,0.0025,0.012499999999999999,0.08522416262267904,0.07859791077978708,0.08197801374052743,pooled,0.9801324503311258,0.14667201900642224,0.14945050593586445,0.14945050593586445,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0375,0.055,-0.40714536930460116,0.8103458836061402,
en,horizon,detailed,random_exploration_effect,20,20,0.2710818916466041,-0.13166394168092138,-0.4027458333275255,1.8018075093647485,1.7629169083881033,1.782468278355027,pooled,0.9801324503311258,-0.223523229442816,-0.22145934672355203,0.22145934672355203,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-2.8178008760726585,1.3554748626125346,-1.6122340324069357,0.9883673175220977,
en,horizon,role_human,directed_exploration,20,20,0.5425,0.485,-0.057499999999999996,0.08777213321106564,0.07626132357679226,0.0822184189890114,pooled,0.9801324503311258,-0.6551054178178597,-0.6854621699983309,0.6854621699983309,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0875624999999999,-0.02749999999999997,-1.1918596564804087,-0.3250103041713452,
en,horizon,role_human,horizon_effect,20,20,-0.009999999999999998,-0.0025,0.007499999999999998,0.08522416262267904,0.06381511122808321,0.07528454793577988,pooled,0.9801324503311258,0.08800321140385332,0.09764279097158256,0.09764279097158256,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.022500000000000006,0.035,-0.282348148365885,0.5711049585278267,
en,horizon,role_human,random_exploration_effect,20,20,0.2710818916466041,0.20819706582003922,-0.0628848258265649,1.8018075093647485,0.8048154495049881,1.3953920969686469,pooled,0.9801324503311258,-0.034900967778037396,-0.04417070912178315,0.04417070912178315,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-2.340609520319523,1.2443986561277327,-1.5990274107671412,1.2614612022832217,
en,horizon,uncertainty_emphasis,directed_exploration,20,20,0.5425,0.6875,0.14500000000000002,0.08777213321106564,0.1049749343515168,0.0967566127211115,pooled,0.9801324503311258,1.6520049666711247,1.468831961983349,1.468831961983349,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,0.09750000000000003,0.19499999999999995,1.012956695832652,2.1504050548872367,
en,horizon,uncertainty_emphasis,horizon_effect,20,20,-0.009999999999999998,0.0425,0.052500000000000005,0.08522416262267904,0.11387319817743724,0.10057401045472616,pooled,0.9801324503311258,0.6160224798269734,0.5116327111719154,0.5116327111719154,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0050000000000000044,0.1125,-0.05527330059347273,1.225521553134505,
en,horizon,uncertainty_emphasis,random_exploration_effect,20,20,0.2710818916466041,1.8704742392845952,1.5993923476379912,1.8018075093647485,2.2054275187261885,2.0137553030542157,pooled,0.9801324503311258,0.8876599411009661,0.7784542334183846,0.7784542334183846,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-0.39167355996347974,3.299388332724946,-0.22045980899126447,2.456725476439162,
en,igt,detailed,advantageous_choice_rate,20,20,0.908,0.867,-0.041000000000000036,0.0528752255189915,0.03130495168499706,0.04344991066552502,pooled,0.9801324503311258,-0.7754104043541872,-0.9248679651592702,0.9248679651592702,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,-0.06700000000000006,-0.015000000000000013,-1.5343560017387754,-0.3339051209802885,
