prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
en,horizon,baseline,directed_exploration,20,0.5075000000000001,0.08925864251240825,0.5,0.35,0.7
en,horizon,baseline,horizon_effect,20,0.0024999999999999996,0.05495213227987849,0.0,-0.1,0.1
en,horizon,baseline,random_exploration_effect,20,0.12212513461423649,0.5457866883872707,0.1893846625700495,-0.7265086850230305,1.7258490574800314
en,horizon,baseline,average_reward_per_trial,20,52.867666666666665,1.9436127511198804,53.11666666666666,49.25,55.836666666666666
en,horizon,baseline,exploration_rate,20,0.044642857142857144,0.02846549912037128,0.04285714285714286,0.0,0.11428571428571428
en,horizon,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,baseline,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,baseline,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,baseline,switching_rate,20,0.3851170568561873,0.016104587820047676,0.3879598662207358,0.35785953177257523,0.411371237458194
en,horizon,detailed,directed_exploration,20,0.5,0.08885233166386386,0.5,0.4,0.65
en,horizon,detailed,horizon_effect,20,0.007499999999999999,0.06340139463848775,0.0,-0.1,0.15
en,horizon,detailed,random_exploration_effect,20,0.445161876096897,0.5372561469184846,0.4030597941682922,-0.3549278449494735,2.130332417425522
en,horizon,detailed,average_reward_per_trial,20,52.858,1.9515240408130627,53.10333333333333,49.07666666666667,55.836666666666666
en,horizon,detailed,exploration_rate,20,0.04964285714285714,0.036530154693532366,0.04642857142857143,0.0,0.1357142857142857
en,horizon,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,detailed,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,detailed,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,detailed,switching_rate,20,0.38461538461538464,0.017664036196869716,0.38127090301003347,0.35785953177257523,0.4180602006688963
en,horizon,role_human,directed_exploration,20,0.5025000000000001,0.08955298343497699,0.5,0.35,0.65
en,horizon,role_human,horizon_effect,20,-0.0025,0.04993416718672275,0.0,-0.09999999999999999,0.1
en,horizon,role_human,random_exploration_effect,20,-0.1265324516805672,0.5122034537065482,-0.08521089217951605,-1.1214318487482433,0.7614517748458685
en,horizon,role_human,average_reward_per_trial,20,52.900666666666666,1.918255969601627,53.129999999999995,49.25,55.63666666666666
en,horizon,role_human,exploration_rate,20,0.04392857142857143,0.027447342417804586,0.039285714285714285,0.0,0.09285714285714286
en,horizon,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,role_human,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,role_human,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,role_human,switching_rate,20,0.3839464882943144,0.014131228957495778,0.3862876254180602,0.35785953177257523,0.411371237458194
en,horizon,uncertainty_emphasis,directed_exploration,20,0.505,0.09162279651978138,0.5,0.35,0.7
en,horizon,uncertainty_emphasis,horizon_effect,20,0.015,0.05155477414209188,0.0,-0.05,0.15
en,horizon,uncertainty_emphasis,random_exploration_effect,20,0.28013895311632264,0.21178706550497126,0.31571559208250294,-0.2486691198867108,0.6196380129359206
en,horizon,uncertainty_emphasis,average_reward_per_trial,20,52.922666666666665,1.9321904062700117,53.25,49.25,55.86333333333334
en,horizon,uncertainty_emphasis,exploration_rate,20,0.031071428571428573,0.02634920005837813,0.02142857142857143,0.0,0.1
en,horizon,uncertainty_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,uncertainty_emphasis,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,uncertainty_emphasis,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,uncertainty_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,uncertainty_emphasis,switching_rate,20,0.3834448160535117,0.015546586208389696,0.38461538461538464,0.35785953177257523,0.411371237458194
en,igt,baseline,advantageous_choice_rate,20,0.894,0.03662038546464178,0.88,0.88,1.0
en,igt,baseline,post_loss_switching_rate,20,0.6012228776125835,0.1133417094415524,0.542483660130719,0.5,0.8571428571428571
en,igt,baseline,average_net_outcome,20,22.2625,1.1046403320347735,22.0,20.0,25.0
en,igt,baseline,deck_A_rate,20,0.016,0.007539370349250519,0.02,0.0,0.02
en,igt,baseline,deck_B_rate,20,0.09000000000000001,0.030779350562554625,0.1,0.0,0.1
en,igt,baseline,deck_C_rate,20,0.1575,0.08777213321106564,0.1,0.1,0.4
en,igt,baseline,deck_D_rate,20,0.7365,0.06409491317364308,0.78,0.59,0.8
en,igt,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,baseline,learning_curve_change,20,21.2,7.324077092928357,24.0,0.0,24.0
en,igt,baseline,learning_slope,20,4.239999999999999,1.464815418585671,4.799999999999999,0.0,4.799999999999999
en,igt,baseline,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,baseline,net_score,20,78.8,7.324077092928357,76.0,76.0,100.0
en,igt,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,detailed,advantageous_choice_rate,20,0.935,0.06048053188292994,0.89,0.88,1.0
en,igt,detailed,post_loss_switching_rate,20,0.5609172631180744,0.18698773869286697,0.56,0.16216216216216217,0.8571428571428571
en,igt,detailed,average_net_outcome,20,23.2125,1.9922134608731592,22.0,20.0,25.75
en,igt,detailed,deck_A_rate,20,0.01,0.01025978352085154,0.01,0.0,0.02
en,igt,detailed,deck_B_rate,20,0.055,0.05104177855340405,0.1,0.0,0.1
en,igt,detailed,deck_C_rate,20,0.3255,0.15876082640248507,0.28500000000000003,0.1,0.7
en,igt,detailed,deck_D_rate,20,0.6095,0.11004664082967157,0.61,0.3,0.78
en,igt,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,detailed,learning_curve_change,20,13.0,12.096106376585988,22.0,0.0,24.0
en,igt,detailed,learning_slope,20,2.5999999999999996,2.4192212753171973,4.3999999999999995,0.0,4.799999999999999
en,igt,detailed,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,detailed,net_score,20,87.0,12.096106376585988,78.0,76.0,100.0
en,igt,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,role_human,advantageous_choice_rate,20,0.9285,0.04826189517948698,0.9,0.88,1.0
en,igt,role_human,post_loss_switching_rate,20,0.6122060047795342,0.2247558245236581,0.6586538461538461,0.2,0.9047619047619048
en,igt,role_human,average_net_outcome,20,22.4375,2.061353349520394,22.125,20.0,26.25
en,igt,role_human,deck_A_rate,20,0.0015,0.004893604849295929,0.0,0.0,0.02
en,igt,role_human,deck_B_rate,20,0.07,0.04701623459816273,0.1,0.0,0.1
en,igt,role_human,deck_C_rate,20,0.1575,0.11516007166228734,0.1,0.02,0.36
en,igt,role_human,deck_D_rate,20,0.771,0.07601246435185553,0.785,0.64,0.88
en,igt,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,role_human,learning_curve_change,20,14.3,9.652379035897397,20.0,0.0,24.0
