prompt_language,task,prompt_condition,metric,baseline_n,condition_n,baseline_mean,condition_mean,raw_mean_difference,baseline_sd,condition_sd,denominator,sd_source,hedges_correction,baseline_sd_standardised_effect,signed_standardised_effect,absolute_standardised_effect,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_difference_ci_lower,raw_difference_ci_upper,standardised_effect_ci_lower,standardised_effect_ci_upper,warning_flags
en,horizon,detailed,directed_exploration,20,20,0.5075000000000001,0.5,-0.007500000000000062,0.08925864251240825,0.08885233166386386,0.08905571880924648,pooled,0.9801324503311258,-0.08402547684900599,-0.08254375435707859,0.08254375435707859,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.02750000000000008,0.012500000000000067,-0.34511452498932477,0.15407954847539485,
en,horizon,detailed,horizon_effect,20,20,0.0024999999999999996,0.007499999999999999,0.004999999999999999,0.05495213227987849,0.06340139463848775,0.05932737009260788,pooled,0.9801324503311258,0.0909882800276855,0.08260373321800499,0.08260373321800499,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.010000000000000002,0.022500000000000003,-0.21502802393223544,0.36348712695694885,
en,horizon,detailed,random_exploration_effect,20,20,0.12212513461423649,0.445161876096897,0.3230367414826605,0.5457866883872707,0.5372561469184846,0.5415382150053862,pooled,0.9801324503311258,0.5918736172133336,0.5846656509240687,0.5846656509240687,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-0.565277099162548,1.1386414984637325,-1.0919855396014924,2.134898027538006,
en,horizon,role_human,directed_exploration,20,20,0.5075000000000001,0.5025000000000001,-0.0050000000000000044,0.08925864251240825,0.08955298343497699,0.08940593410189046,pooled,0.9801324503311258,-0.05601698456600358,-0.054813612775083245,0.054813612775083245,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.022499999999999964,0.012500000000000067,-0.2487617781099011,0.1560080675701732,
en,horizon,role_human,horizon_effect,20,20,0.0024999999999999996,-0.0025,-0.004999999999999999,0.05495213227987849,0.04993416718672275,0.05250313273861305,pooled,0.9801324503311258,-0.0909882800276855,-0.09334037791713469,0.09334037791713469,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.027500000000000004,0.0175,-0.589805186038726,0.3414232295539366,
en,horizon,role_human,random_exploration_effect,20,20,0.12212513461423649,-0.1265324516805672,-0.2486575862948037,0.5457866883872707,0.5122034537065482,0.5292615077679746,pooled,0.9801324503311258,-0.4555948167764128,-0.46048572543347266,0.46048572543347266,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-1.1445257763218641,0.615315832045614,-2.2231788431648196,1.2983046027420138,
en,horizon,uncertainty_emphasis,directed_exploration,20,20,0.5075000000000001,0.505,-0.0025000000000000577,0.08925864251240825,0.09162279651978138,0.09044844416921487,pooled,0.9801324503311258,-0.028008492283002413,-0.027090915143257583,0.027090915143257583,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.015000000000000013,0.007500000000000062,-0.17473678136151183,0.08779930910410184,
en,horizon,uncertainty_emphasis,horizon_effect,20,20,0.0024999999999999996,0.015,0.0125,0.05495213227987849,0.05155477414209188,0.05328053856215874,pooled,0.9801324503311258,0.22747070006921377,0.22994616720786165,0.22994616720786165,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0025000000000000005,0.030000000000000002,-0.05430645999292955,0.5574012000010689,
en,horizon,uncertainty_emphasis,random_exploration_effect,20,20,0.12212513461423649,0.28013895311632264,0.15801381850208615,0.5457866883872707,0.21178706550497126,0.4139667078014552,pooled,0.9801324503311258,0.2895157061616812,0.37412301085068816,0.37412301085068816,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-0.5421030030710308,0.8247231616225869,-1.1906908021646174,2.2353084149932934,
en,igt,detailed,advantageous_choice_rate,20,20,0.894,0.935,0.041000000000000036,0.03662038546464178,0.06048053188292994,0.04999473656506778,pooled,0.9801324503311258,1.1195949873216633,0.8037932235381449,0.8037932235381449,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,0.008000000000000007,0.06999999999999995,0.15316319426034888,1.512665081354584,
