prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
en,horizon,baseline,directed_exploration,20,0.365,0.07451598203705947,0.35,0.2,0.5
en,horizon,baseline,horizon_effect,20,-0.0175,0.09072079782439492,0.0,-0.2,0.15000000000000002
en,horizon,baseline,random_exploration_effect,20,-1.291186038431464,1.2989268658677087,-0.9842707430450701,-4.168088184563005,0.4530341881200539
en,horizon,baseline,average_reward_per_trial,20,52.702,1.9274300072242665,52.93,49.156666666666666,55.596666666666664
en,horizon,baseline,exploration_rate,20,0.09178571428571429,0.04108327714021876,0.08571428571428572,0.014285714285714285,0.17857142857142858
en,horizon,baseline,invalid_response_count,20,0.05,0.22360679774997896,0.0,0.0,1.0
en,horizon,baseline,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,baseline,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,baseline,parse_success_rate,20,0.9998338870431893,0.000742879726744121,1.0,0.9966777408637874,1.0
en,horizon,baseline,switching_rate,20,0.37642140468227425,0.01262980336066419,0.37625418060200666,0.34448160535117056,0.3979933110367893
en,horizon,detailed,directed_exploration,20,0.3875,0.0840973746382884,0.375,0.25,0.5
en,horizon,detailed,horizon_effect,20,0.015000000000000003,0.07451598203705946,0.0,-0.1,0.2
en,horizon,detailed,random_exploration_effect,20,0.059504791813412804,0.651557735799975,0.07295130433212638,-1.7566648393068314,1.29013253678317
en,horizon,detailed,average_reward_per_trial,20,52.71666666666667,1.9724811460049565,52.97666666666667,49.04333333333334,55.75666666666667
en,horizon,detailed,exploration_rate,20,0.08857142857142856,0.037180432121755556,0.08928571428571429,0.03571428571428571,0.15714285714285714
en,horizon,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,detailed,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,detailed,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,detailed,switching_rate,20,0.3749163879598662,0.012834408741117425,0.3745819397993311,0.34782608695652173,0.4013377926421405
en,horizon,role_human,directed_exploration,20,0.405,0.08413648060396307,0.42500000000000004,0.25,0.55
en,horizon,role_human,horizon_effect,20,0.005000000000000002,0.08255779474818965,0.0,-0.15,0.15000000000000002
en,horizon,role_human,random_exploration_effect,20,0.5938234812624451,0.5427547281574397,0.683725269287028,-0.5152463407226444,1.366373919550417
en,horizon,role_human,average_reward_per_trial,20,52.72533333333333,1.9634006183925106,53.03666666666666,49.156666666666666,55.78333333333333
en,horizon,role_human,exploration_rate,20,0.08142857142857143,0.04141690268648517,0.07857142857142857,0.007142857142857143,0.16428571428571428
en,horizon,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,horizon,role_human,n_games,20,40.0,0.0,40.0,40.0,40.0
en,horizon,role_human,n_trials,20,300.0,0.0,300.0,300.0,300.0
en,horizon,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,horizon,role_human,switching_rate,20,0.37541806020066887,0.015644732440307403,0.3745819397993311,0.34448160535117056,0.40468227424749165
en,horizon,uncertainty_emphasis,directed_exploration,20,0.3625,0.07587212233336052,0.35,0.2,0.55
en,horizon,uncertainty_emphasis,horizon_effect,20,0.007499999999999999,0.08472090402579147,0.0,-0.15000000000000002,0.2
en,horizon,uncertainty_emphasis,random_exploration_effect,20,-0.3457033873658604,0.9428381393790375,-0.02911804150164432,-3.132377888931427,0.575943511256352
