prompt_language,task,prompt_condition,metric,baseline_n,condition_n,baseline_mean,condition_mean,raw_mean_difference,baseline_sd,condition_sd,denominator,sd_source,hedges_correction,baseline_sd_standardised_effect,signed_standardised_effect,absolute_standardised_effect,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_difference_ci_lower,raw_difference_ci_upper,standardised_effect_ci_lower,standardised_effect_ci_upper,warning_flags
en,horizon,detailed,directed_exploration,20,20,0.365,0.3875,0.02250000000000002,0.07451598203705947,0.0840973746382884,0.07945124291035352,pooled,0.9801324503311258,0.3019486475909284,0.2775662069545367,0.2775662069545367,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,0.0,0.044999999999999984,0.0,0.5980386210237009,
en,horizon,detailed,horizon_effect,20,20,-0.0175,0.015000000000000003,0.0325,0.09072079782439492,0.07451598203705946,0.08301474187408556,pooled,0.9801324503311258,0.3582419994024867,0.38371864944273765,0.38371864944273765,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0049999999999999975,0.07,-0.06617408035185589,0.8433434681058299,
en,horizon,detailed,random_exploration_effect,20,20,-1.291186038431464,0.059504791813412804,1.3506908302448768,1.2989268658677087,0.651557735799975,1.0275549829458515,pooled,0.9801324503311258,1.039851330923538,1.2883553046401377,1.2883553046401377,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-0.04322027147892255,2.7960261928945784,-0.05260868798901893,2.6799873619139176,
en,horizon,role_human,directed_exploration,20,20,0.365,0.405,0.040000000000000036,0.07451598203705947,0.08413648060396307,0.07947194142390264,pooled,0.9801324503311258,0.536797595717206,0.4933225149757492,0.4933225149757492,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,0.012500000000000011,0.06756249999999972,0.17308314928995666,0.9459688245038439,
en,horizon,role_human,horizon_effect,20,20,-0.0175,0.005000000000000002,0.022500000000000003,0.09072079782439492,0.08255779474818965,0.08673538099178141,pooled,0.9801324503311258,0.24801369189402928,0.25425587436504093,0.25425587436504093,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.004999999999999999,0.055,-0.05974002218407095,0.6176272876941056,
en,horizon,role_human,random_exploration_effect,20,20,-1.291186038431464,0.5938234812624451,1.885009519693909,1.2989268658677087,0.5427547281574397,0.9954380186154648,pooled,0.9801324503311258,1.4512052750827396,1.8560261562089253,1.8560261562089253,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,0.5633328927151564,3.339452662913394,0.7045211710625702,3.295501707518521,
en,horizon,uncertainty_emphasis,directed_exploration,20,20,0.365,0.3625,-0.0025000000000000022,0.07451598203705947,0.07587212233336052,0.07519710940693064,pooled,0.9801324503311258,-0.033549849732325374,-0.032585443046325116,0.032585443046325116,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.020000000000000018,0.017500000000000016,-0.32424394093584535,0.2554855690081677,
en,horizon,uncertainty_emphasis,horizon_effect,20,20,-0.0175,0.007499999999999999,0.025,0.09072079782439492,0.08472090402579147,0.08777213321106565,pooled,0.9801324503311258,0.2755707687711436,0.2791695993004412,0.2791695993004412,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,2.5804011705155388e-18,0.0525,3.324329667097274e-17,0.5953921752678643,
en,horizon,uncertainty_emphasis,random_exploration_effect,20,20,-1.291186038431464,-0.3457033873658604,0.9454826510656036,1.2989268658677087,0.9428381393790375,1.1349349672868119,pooled,0.9801324503311258,0.7278952155893724,0.8165209939296116,0.8165209939296116,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6462767572958961,2.5475313217759363,-0.6269590909411688,2.30998668199651,
en,igt,detailed,advantageous_choice_rate,20,20,0.8505,0.867,0.01649999999999996,0.010990426455975706,0.03326132573235295,0.024769994581730286,pooled,0.9801324503311258,1.501306620456806,0.652894185224882,0.652894185224882,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,0.0040000000000000036,0.03400000000000003,0.3454366591873839,1.3721907988671957,
