prompt_language,task,metric,closest_prompt_condition,human_sd_standardised_distance,llm_mean,human_mean,llm_mean_reference_position,llm_runs_within_human_reference_proportion
en,horizon,directed_exploration,baseline,-0.020132059264525083,0.5425000000000001,0.5441666666666667,within,0.9
en,horizon,horizon_effect,uncertainty_emphasis,-0.783806326292691,0.04250000000000001,0.11082527130415917,within,0.55
en,horizon,random_exploration_effect,uncertainty_emphasis,-1.101588659118594,1.870474239284595,8.909982267051527,within,0.5
en,igt,advantageous_choice_rate,detailed,2.069622975075837,0.8669999999999998,0.5380952380952376,above,0.0
en,igt,post_loss_switching_rate,detailed,-0.21524256421689233,0.6377637869377001,0.6946879629435914,within,1.0
en,bart,adjusted_average_pumps,role_human,-0.11016700253049715,7.958517549261084,8.320018931754284,within,1.0
en,bart,explosion_rate,baseline,-0.06854884885663051,0.27749999999999997,0.2852836879432623,within,1.0
en,bart,post_explosion_adjustment,baseline,-0.5523467934471143,0.30276612276612275,1.191158698327816,within,0.95
es,horizon,directed_exploration,role_human,0.3120469186001515,0.57,0.5441666666666667,within,0.9
es,horizon,horizon_effect,role_human,-0.8698440007137122,0.034999999999999996,0.11082527130415917,within,0.75
es,horizon,random_exploration_effect,uncertainty_emphasis,-1.1552996817232486,1.5272434228857015,8.909982267051527,below,0.55
es,igt,advantageous_choice_rate,detailed,2.0381606307319884,0.8619999999999999,0.5380952380952376,above,0.0
es,igt,post_loss_switching_rate,detailed,-0.08660367029647527,0.6717843026538677,0.6946879629435914,within,1.0
es,bart,adjusted_average_pumps,detailed,-0.1404388640069464,7.859183633269772,8.320018931754284,within,1.0
es,bart,explosion_rate,detailed,-0.39880127558049105,0.24,0.2852836879432623,within,1.0
es,bart,post_explosion_adjustment,risk_emphasis,-0.21375178059535072,0.847361111111111,1.191158698327816,within,1.0
zh-CN,horizon,directed_exploration,role_human,0.13085838521941906,0.555,0.5441666666666667,within,0.85
zh-CN,horizon,horizon_effect,uncertainty_emphasis,-0.8124855510996981,0.04000000000000001,0.11082527130415917,within,0.9
zh-CN,horizon,random_exploration_effect,uncertainty_emphasis,-1.1451458374659254,1.592129773675944,8.909982267051527,within,0.45
zh-CN,igt,advantageous_choice_rate,reward_loss_emphasis,2.050745568469528,0.8639999999999999,0.5380952380952376,above,0.2
zh-CN,igt,post_loss_switching_rate,detailed,-0.09654243773675818,0.6691558441558441,0.6946879629435914,within,1.0
zh-CN,bart,adjusted_average_pumps,role_human,-0.011211496096015164,8.283229591521444,8.320018931754284,within,1.0
zh-CN,bart,explosion_rate,detailed,-0.07955726308075897,0.27625,0.2852836879432623,within,1.0
zh-CN,bart,post_explosion_adjustment,risk_emphasis,-0.17894598293769137,0.9033426295926296,1.191158698327816,within,0.95
