task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
horizon,baseline,directed_exploration,20,60,0.5425000000000001,0.5441666666666667,-0.0016666666666665941,-0.020132059264525083,0.08777213321106565,0.082786695825173,0.55,0.5375,0.37796874999999996,0.69765625,within,0.5,18,0.9,en
horizon,detailed,directed_exploration,20,60,0.58,0.5441666666666667,0.03583333333333327,0.4328392741873074,0.09090191359227176,0.082786695825173,0.575,0.5375,0.37796874999999996,0.69765625,within,0.6666666666666666,17,0.85,en
horizon,role_human,directed_exploration,20,60,0.485,0.5441666666666667,-0.0591666666666667,-0.7146881038906719,0.07626132357679227,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.21666666666666667,18,0.9,en
horizon,uncertainty_emphasis,directed_exploration,20,60,0.6874999999999999,0.5441666666666667,0.1433333333333332,1.7313570967492309,0.1049749343515168,0.082786695825173,0.675,0.5375,0.37796874999999996,0.69765625,within,0.9666666666666667,10,0.5,en
horizon,baseline,directed_exploration,20,60,0.6425,0.5441666666666667,0.09833333333333327,1.1877914966070309,0.09497229512918628,0.082786695825173,0.625,0.5375,0.37796874999999996,0.69765625,within,0.8666666666666667,12,0.6,es
horizon,detailed,directed_exploration,20,60,0.6000000000000002,0.5441666666666667,0.05583333333333351,0.6744239853616217,0.10637569963898807,0.082786695825173,0.6,0.5375,0.37796874999999996,0.69765625,within,0.7666666666666667,15,0.75,es
horizon,role_human,directed_exploration,20,60,0.57,0.5441666666666667,0.025833333333333264,0.3120469186001515,0.08795932074125605,0.082786695825173,0.575,0.5375,0.37796874999999996,0.69765625,within,0.6333333333333333,18,0.9,es
horizon,uncertainty_emphasis,directed_exploration,20,60,0.6125,0.5441666666666667,0.06833333333333336,0.8254144298455646,0.09301244964774169,0.082786695825173,0.6,0.5375,0.37796874999999996,0.69765625,within,0.7833333333333333,16,0.8,es
horizon,baseline,directed_exploration,20,60,0.5225,0.5441666666666667,-0.021666666666666723,-0.2617167704388381,0.08187763655859305,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.4,20,1.0,zh-CN
horizon,detailed,directed_exploration,20,60,0.495,0.5441666666666667,-0.04916666666666669,-0.5938957483035161,0.08720815992723809,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.26666666666666666,18,0.9,zh-CN
