task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
horizon,baseline,directed_exploration,20,60,0.5075000000000001,0.5441666666666667,-0.036666666666666625,-0.44290530381957055,0.08925864251240827,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.3333333333333333,18,0.9,en
horizon,detailed,directed_exploration,20,60,0.5,0.5441666666666667,-0.04416666666666669,-0.5334995705099381,0.08885233166386386,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.3,20,1.0,en
horizon,role_human,directed_exploration,20,60,0.5025000000000001,0.5441666666666667,-0.04166666666666663,-0.5033014816131485,0.089552983434977,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.3,19,0.95,en
horizon,uncertainty_emphasis,directed_exploration,20,60,0.505,0.5441666666666667,-0.03916666666666668,-0.4731033927163602,0.09162279651978138,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.3,18,0.9,en
horizon,baseline,horizon_effect,20,60,0.002500000000000001,0.11082527130415917,-0.10832527130415917,-1.2426739232048036,0.054952132279878496,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,13,0.65,en
horizon,detailed,horizon_effect,20,60,0.007499999999999998,0.11082527130415917,-0.10332527130415918,-1.1853154735907898,0.06340139463848775,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,14,0.7,en
horizon,role_human,horizon_effect,20,60,-0.0024999999999999988,0.11082527130415917,-0.11332527130415918,-1.300032372818818,0.04993416718672275,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,below,0.03333333333333333,14,0.7,en
horizon,uncertainty_emphasis,horizon_effect,20,60,0.015000000000000003,0.11082527130415917,-0.09582527130415917,-1.0992777991697684,0.05155477414209188,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.06666666666666667,16,0.8,en
horizon,baseline,random_exploration_effect,20,60,0.12212513461423646,8.909982267051527,-8.78785713243729,-1.3751818616958438,0.5457866883872707,6.390323619888572,0.1893846625700495,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,1,0.05,en
horizon,detailed,random_exploration_effect,20,60,0.44516187609689695,8.909982267051527,-8.46482039095463,-1.324630941163858,0.5372561469184846,6.390323619888572,0.4030597941682922,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,1,0.05,en
horizon,role_human,random_exploration_effect,20,60,-0.1265324516805672,8.909982267051527,-9.036514718732095,-1.4140934413098885,0.5122034537065482,6.390323619888572,-0.08521089217951605,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
horizon,uncertainty_emphasis,random_exploration_effect,20,60,0.28013895311632264,8.909982267051527,-8.629843313935204,-1.3504548168854213,0.21178706550497126,6.390323619888572,0.31571559208250294,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
igt,baseline,advantageous_choice_rate,20,504,0.8940000000000001,0.5380952380952376,0.3559047619047625,2.2395196345326216,0.036620385464641775,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9880952380952381,0,0.0,en
igt,detailed,advantageous_choice_rate,20,504,0.9349999999999999,0.5380952380952376,0.3969047619047623,2.497510858152179,0.06048053188292995,0.15892013466496727,0.89,0.52,0.20575000000000002,0.85,above,0.9940476190476191,0,0.0,en
igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.967,0.5380952380952376,0.42890476190476234,2.698869861952811,0.0520222624409366,0.15892013466496727,1.0,0.52,0.20575000000000002,0.85,above,1.0,0,0.0,en
igt,role_human,advantageous_choice_rate,20,504,0.9285,0.5380952380952376,0.39040476190476237,2.4566098105051766,0.04826189517948699,0.15892013466496727,0.9,0.52,0.20575000000000002,0.85,above,0.9940476190476191,0,0.0,en
igt,baseline,post_loss_switching_rate,20,504,0.6012228776125834,0.6946879629435914,-0.09346508533100795,-0.3534116089675985,0.11334170944155239,0.2644652381511809,0.542483660130719,0.7642857142857142,0.15595486111111112,1.0,within,0.3373015873015873,20,1.0,en
igt,detailed,post_loss_switching_rate,20,504,0.5609172631180743,0.6946879629435914,-0.13377069982551704,-0.5058158144362525,0.18698773869286694,0.2644652381511809,0.56,0.7642857142857142,0.15595486111111112,1.0,within,0.29365079365079366,20,1.0,en
igt,reward_loss_emphasis,post_loss_switching_rate,20,504,0.6193672993672992,0.6946879629435914,-0.07532066357629219,-0.2848036441493884,0.19747862774724928,0.2644652381511809,0.6076923076923078,0.7642857142857142,0.15595486111111112,1.0,within,0.3531746031746032,20,1.0,en
igt,role_human,post_loss_switching_rate,20,504,0.612206004779534,0.6946879629435914,-0.08248195816405735,-0.3118820406820602,0.22475582452365817,0.2644652381511809,0.6586538461538461,0.7642857142857142,0.15595486111111112,1.0,within,0.34523809523809523,20,1.0,en
bart,baseline,adjusted_average_pumps,20,141,2.5904061956693534,8.320018931754284,-5.72961273608493,-1.7460908626176876,0.6526667266950469,3.281394375717232,2.53490990990991,7.931034482758621,3.145534290271132,15.412337662337663,below,0.0070921985815602835,4,0.2,en
bart,detailed,adjusted_average_pumps,20,141,2.540751766804398,8.320018931754284,-5.779267164949886,-1.761222975122178,0.7801879377639541,3.281394375717232,2.5071321321321323,7.931034482758621,3.145534290271132,15.412337662337663,below,0.0070921985815602835,2,0.1,en
bart,risk_emphasis,adjusted_average_pumps,20,141,2.8275714059924586,8.320018931754284,-5.4924475257618255,-1.673815121524767,0.9427023671717999,3.281394375717232,2.6111111111111107,7.931034482758621,3.145534290271132,15.412337662337663,below,0.014184397163120567,7,0.35,en
bart,role_human,adjusted_average_pumps,20,141,1.6174362621731042,8.320018931754284,-6.702582669581179,-2.0426019862718148,0.6624661978262035,3.281394375717232,1.389676113360324,7.931034482758621,3.145534290271132,15.412337662337663,below,0.0,1,0.05,en
bart,baseline,explosion_rate,20,141,0.07125000000000001,0.2852836879432623,-0.2140336879432623,-1.8849371958378642,0.01862899550926487,0.11354950627313778,0.075,0.275,0.075,0.475,below,0.02127659574468085,13,0.65,en
bart,detailed,explosion_rate,20,141,0.0725,0.2852836879432623,-0.2127836879432623,-1.8739287816137356,0.019701723141310308,0.11354950627313778,0.075,0.275,0.075,0.475,below,0.02127659574468085,14,0.7,en
