task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
horizon,baseline,directed_exploration,20,60,0.365,0.5441666666666667,-0.1791666666666667,-2.164196370936541,0.07451598203705949,0.082786695825173,0.35,0.5375,0.37796874999999996,0.69765625,below,0.016666666666666666,9,0.45,en
horizon,detailed,directed_exploration,20,60,0.3875,0.5441666666666667,-0.15666666666666668,-1.8924135708654402,0.08409737463828838,0.082786695825173,0.375,0.5375,0.37796874999999996,0.69765625,within,0.05,10,0.5,en
horizon,role_human,directed_exploration,20,60,0.4050000000000001,0.5441666666666667,-0.1391666666666666,-1.6810269485879168,0.08413648060396307,0.082786695825173,0.42500000000000004,0.5375,0.37796874999999996,0.69765625,within,0.05,13,0.65,en
horizon,uncertainty_emphasis,directed_exploration,20,60,0.36249999999999993,0.5441666666666667,-0.18166666666666675,-2.1943944598333305,0.07587212233336052,0.082786695825173,0.35,0.5375,0.37796874999999996,0.69765625,below,0.016666666666666666,9,0.45,en
horizon,baseline,horizon_effect,20,60,-0.017499999999999998,0.11082527130415917,-0.12832527130415916,-1.4721077216608598,0.09072079782439492,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,below,0.016666666666666666,14,0.7,en
horizon,detailed,horizon_effect,20,60,0.015000000000000003,0.11082527130415917,-0.09582527130415917,-1.0992777991697684,0.07451598203705946,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.06666666666666667,14,0.7,en
horizon,role_human,horizon_effect,20,60,0.005000000000000002,0.11082527130415917,-0.10582527130415917,-1.2139946983977967,0.08255779474818965,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,13,0.65,en
horizon,uncertainty_emphasis,horizon_effect,20,60,0.007499999999999998,0.11082527130415917,-0.10332527130415918,-1.1853154735907898,0.08472090402579147,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,14,0.7,en
horizon,baseline,random_exploration_effect,20,60,-1.2911860384314642,8.909982267051527,-10.201168305482991,-1.596346118330212,1.2989268658677087,6.390323619888572,-0.9842707430450701,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
horizon,detailed,random_exploration_effect,20,60,0.059504791813412804,8.909982267051527,-8.850477475238113,-1.384981106073066,0.651557735799975,6.390323619888572,0.07295130433212638,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
horizon,role_human,random_exploration_effect,20,60,0.5938234812624452,8.909982267051527,-8.316158785789082,-1.301367392397271,0.5427547281574397,6.390323619888572,0.683725269287028,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
horizon,uncertainty_emphasis,random_exploration_effect,20,60,-0.3457033873658604,8.909982267051527,-9.255685654417388,-1.4483907552993034,0.9428381393790375,6.390323619888572,-0.02911804150164432,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
igt,baseline,advantageous_choice_rate,20,504,0.8504999999999997,0.5380952380952376,0.3124047619047621,1.9657972387411355,0.010990426455975708,0.15892013466496727,0.85,0.52,0.20575000000000002,0.85,above,0.9761904761904762,10,0.5,en
igt,detailed,advantageous_choice_rate,20,504,0.8669999999999998,0.5380952380952376,0.32890476190476214,2.069622975075837,0.03326132573235296,0.15892013466496727,0.86,0.52,0.20575000000000002,0.85,above,0.9781746031746031,3,0.15,en
igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.8625,0.5380952380952376,0.3244047619047624,2.0413068651663746,0.011180339887498959,0.15892013466496727,0.86,0.52,0.20575000000000002,0.85,above,0.9781746031746031,2,0.1,en
igt,role_human,advantageous_choice_rate,20,504,0.8579999999999999,0.5380952380952376,0.31990476190476225,2.0129907552569097,0.011050125029061662,0.15892013466496727,0.86,0.52,0.20575000000000002,0.85,above,0.9761904761904762,4,0.2,en
igt,baseline,post_loss_switching_rate,20,504,0.41695221445221453,0.6946879629435914,-0.27773574849137683,-1.0501786564955273,0.13412136664287025,0.2644652381511809,0.38461538461538464,0.7642857142857142,0.15595486111111112,1.0,within,0.1984126984126984,20,1.0,en
igt,detailed,post_loss_switching_rate,20,504,0.4305540394564785,0.6946879629435914,-0.26413392348711284,-0.9987472279291442,0.20460529798216856,0.2644652381511809,0.4166666666666667,0.7642857142857142,0.15595486111111112,1.0,within,0.20436507936507936,19,0.95,en
igt,reward_loss_emphasis,post_loss_switching_rate,20,504,0.35019230769230775,0.6946879629435914,-0.3444956552512836,-1.3026122361470944,0.12465790835912174,0.2644652381511809,0.3333333333333333,0.7642857142857142,0.15595486111111112,1.0,within,0.15476190476190477,20,1.0,en
igt,role_human,post_loss_switching_rate,20,504,0.3620454545454545,0.6946879629435914,-0.33264250839813686,-1.2577929361286515,0.10543990987798385,0.2644652381511809,0.358974358974359,0.7642857142857142,0.15595486111111112,1.0,within,0.15674603174603174,20,1.0,en
bart,baseline,adjusted_average_pumps,20,141,2.8239114114114114,8.320018931754284,-5.496107520342872,-1.674930499367836,0.670224841317945,3.281394375717232,2.837719298245614,7.931034482758621,3.145534290271132,15.412337662337663,below,0.014184397163120567,3,0.15,en
