model,prompt_language,task,prompt_condition,metric,baseline_signed_human_sd_scaled_mean_deviation,condition_signed_human_sd_scaled_mean_deviation,signed_deviation_change_from_baseline,baseline_absolute_human_sd_scaled_mean_deviation,condition_absolute_human_sd_scaled_mean_deviation,absolute_deviation_change_from_baseline,baseline_reference_coverage,condition_reference_coverage,reference_coverage_change_from_baseline
GPT-4.1,en,bart,detailed,adjusted_average_pumps,0.2226874889554549,0.15180966809523797,-0.07087782086021693,0.2226874889554549,0.15180966809523797,-0.07087782086021693,1.0,1.0,0.0
GPT-4.1,es,bart,detailed,adjusted_average_pumps,-0.558968741022639,-0.1404388640069464,0.41852987701569266,0.558968741022639,0.1404388640069464,-0.41852987701569266,1.0,1.0,0.0
GPT-4.1,zh-CN,bart,detailed,adjusted_average_pumps,-0.012520733036376068,0.06596105390902034,0.0784817869453964,0.012520733036376068,0.06596105390902034,0.05344032087264427,1.0,1.0,0.0
GPT-5.4,en,bart,detailed,adjusted_average_pumps,-1.7460908626176876,-1.761222975122178,-0.015132112504490314,1.7460908626176876,1.761222975122178,0.015132112504490314,0.2,0.1,-0.1
GPT-5.4 Mini,en,bart,detailed,adjusted_average_pumps,-1.674930499367836,-1.0726432615384984,0.6022872378293376,1.674930499367836,1.0726432615384984,-0.6022872378293376,0.15,1.0,0.85
GPT-4.1,en,bart,risk_emphasis,adjusted_average_pumps,0.2226874889554549,0.19239194743109317,-0.03029554152436173,0.2226874889554549,0.19239194743109317,-0.03029554152436173,1.0,1.0,0.0
GPT-4.1,es,bart,risk_emphasis,adjusted_average_pumps,-0.558968741022639,-0.49716612042467234,0.061802620597966706,0.558968741022639,0.49716612042467234,-0.061802620597966706,1.0,1.0,0.0
GPT-4.1,zh-CN,bart,risk_emphasis,adjusted_average_pumps,-0.012520733036376068,0.04768330879089435,0.06020404182727042,0.012520733036376068,0.04768330879089435,0.03516257575451828,1.0,1.0,0.0
GPT-5.4,en,bart,risk_emphasis,adjusted_average_pumps,-1.7460908626176876,-1.673815121524767,0.07227574109292068,1.7460908626176876,1.673815121524767,-0.07227574109292068,0.2,0.35,0.14999999999999997
GPT-5.4 Mini,en,bart,risk_emphasis,adjusted_average_pumps,-1.674930499367836,-2.074580737495719,-0.3996502381278828,1.674930499367836,2.074580737495719,0.3996502381278828,0.15,0.05,-0.09999999999999999
GPT-4.1,en,bart,role_human,adjusted_average_pumps,0.2226874889554549,-0.11016700253049715,-0.33285449148595203,0.2226874889554549,0.11016700253049715,-0.11252048642495775,1.0,1.0,0.0
GPT-4.1,es,bart,role_human,adjusted_average_pumps,-0.558968741022639,-0.5678660333445366,-0.00889729232189751,0.558968741022639,0.5678660333445366,0.00889729232189751,1.0,1.0,0.0
GPT-4.1,zh-CN,bart,role_human,adjusted_average_pumps,-0.012520733036376068,-0.011211496096015164,0.0013092369403609038,0.012520733036376068,0.011211496096015164,-0.0013092369403609038,1.0,1.0,0.0
GPT-5.4,en,bart,role_human,adjusted_average_pumps,-1.7460908626176876,-2.0426019862718148,-0.29651112365412713,1.7460908626176876,2.0426019862718148,0.29651112365412713,0.2,0.05,-0.15000000000000002
GPT-5.4 Mini,en,bart,role_human,adjusted_average_pumps,-1.674930499367836,-1.636273573245584,0.03865692612225202,1.674930499367836,1.636273573245584,-0.03865692612225202,0.15,0.3,0.15
GPT-4.1,en,bart,detailed,explosion_rate,-0.06854884885663051,0.1516194356259435,0.220168284482574,0.06854884885663051,0.1516194356259435,0.08307058676931298,1.0,1.0,0.0
GPT-4.1,es,bart,detailed,explosion_rate,-0.7730873592008666,-0.39880127558049105,0.3742860836203755,0.7730873592008666,0.39880127558049105,-0.3742860836203755,1.0,1.0,0.0
GPT-4.1,zh-CN,bart,detailed,explosion_rate,-0.10157409152901589,-0.07955726308075897,0.02201682844825692,0.10157409152901589,0.07955726308075897,-0.02201682844825692,1.0,1.0,0.0
GPT-5.4,en,bart,detailed,explosion_rate,-1.8849371958378642,-1.8739287816137356,0.011008414224128682,1.8849371958378642,1.8739287816137356,-0.011008414224128682,0.65,0.7,0.04999999999999993
GPT-5.4 Mini,en,bart,detailed,explosion_rate,-1.8188867104930921,-1.3014912419590439,0.5173954685340483,1.8188867104930921,1.3014912419590439,-0.5173954685340483,0.8,0.95,0.1499999999999999
GPT-4.1,en,bart,risk_emphasis,explosion_rate,-0.06854884885663051,0.07456053605704333,0.14310938491367384,0.06854884885663051,0.07456053605704333,0.006011687200412813,1.0,1.0,0.0
GPT-4.1,es,bart,risk_emphasis,explosion_rate,-0.7730873592008666,-0.784095773424995,-0.01100841422412846,0.7730873592008666,0.784095773424995,0.01100841422412846,1.0,1.0,0.0
GPT-4.1,zh-CN,bart,risk_emphasis,explosion_rate,-0.10157409152901589,-0.2556918906668177,-0.1541177991378018,0.10157409152901589,0.2556918906668177,0.1541177991378018,1.0,1.0,0.0
GPT-5.4,en,bart,risk_emphasis,explosion_rate,-1.8849371958378642,-1.8188867104930921,0.06605048534477209,1.8849371958378642,1.8188867104930921,-0.06605048534477209,0.65,0.8,0.15000000000000002
GPT-5.4 Mini,en,bart,risk_emphasis,explosion_rate,-1.8188867104930921,-2.138130722992824,-0.319244012499732,1.8188867104930921,2.138130722992824,0.319244012499732,0.8,0.1,-0.7000000000000001
GPT-4.1,en,bart,role_human,explosion_rate,-0.06854884885663051,-0.2777087191150756,-0.2091598702584451,0.06854884885663051,0.2777087191150756,0.2091598702584451,1.0,1.0,0.0
GPT-4.1,es,bart,role_human,explosion_rate,-0.7730873592008666,-0.8721630872180249,-0.09907572801715836,0.7730873592008666,0.8721630872180249,0.09907572801715836,1.0,1.0,0.0
GPT-4.1,zh-CN,bart,role_human,explosion_rate,-0.10157409152901589,-0.2336750622185598,-0.1321009706895439,0.10157409152901589,0.2336750622185598,0.1321009706895439,1.0,1.0,0.0
GPT-5.4,en,bart,role_human,explosion_rate,-1.8849371958378642,-2.1271223087686955,-0.24218511293083123,1.8849371958378642,2.1271223087686955,0.24218511293083123,0.65,0.15,-0.5
GPT-5.4 Mini,en,bart,role_human,explosion_rate,-1.8188867104930921,-1.6757773255794193,0.14310938491367287,1.8188867104930921,1.6757773255794193,-0.14310938491367287,0.8,0.9,0.09999999999999998
GPT-4.1,en,bart,detailed,post_explosion_adjustment,-0.5523467934471143,-1.3649373847885748,-0.8125905913414605,0.5523467934471143,1.3649373847885748,0.8125905913414605,0.95,0.75,-0.19999999999999996
GPT-4.1,es,bart,detailed,post_explosion_adjustment,-0.5434699218463241,-0.48938079613996344,0.05408912570636071,0.5434699218463241,0.48938079613996344,-0.05408912570636071,0.95,0.95,0.0
GPT-4.1,zh-CN,bart,detailed,post_explosion_adjustment,-0.22027634721552505,-0.41216967189100956,-0.1918933246754845,0.22027634721552505,0.41216967189100956,0.1918933246754845,1.0,1.0,0.0
GPT-5.4,en,bart,detailed,post_explosion_adjustment,-1.5281216846610297,-1.261292763856684,0.2668289208043457,1.5281216846610297,1.261292763856684,-0.2668289208043457,0.7,0.8,0.10000000000000009
GPT-5.4 Mini,en,bart,detailed,post_explosion_adjustment,-1.3260570650227872,-1.2295397521992457,0.09651731282354148,1.3260570650227872,1.2295397521992457,-0.09651731282354148,0.7,0.85,0.15000000000000002
GPT-4.1,en,bart,risk_emphasis,post_explosion_adjustment,-0.5523467934471143,-0.8173313442761936,-0.26498455082907924,0.5523467934471143,0.8173313442761936,0.26498455082907924,0.95,0.95,0.0
GPT-4.1,es,bart,risk_emphasis,post_explosion_adjustment,-0.5434699218463241,-0.21375178059535072,0.32971814125097343,0.5434699218463241,0.21375178059535072,-0.32971814125097343,0.95,1.0,0.050000000000000044
GPT-4.1,zh-CN,bart,risk_emphasis,post_explosion_adjustment,-0.22027634721552505,-0.17894598293769137,0.04133036427783368,0.22027634721552505,0.17894598293769137,-0.04133036427783368,1.0,0.95,-0.050000000000000044
GPT-5.4,en,bart,risk_emphasis,post_explosion_adjustment,-1.5281216846610297,-1.3706149042250664,0.15750678043596333,1.5281216846610297,1.3706149042250664,-0.15750678043596333,0.7,0.85,0.15000000000000002
GPT-5.4 Mini,en,bart,risk_emphasis,post_explosion_adjustment,-1.3260570650227872,-1.5436651169408946,-0.2176080519181074,1.3260570650227872,1.5436651169408946,0.2176080519181074,0.7,0.8,0.10000000000000009
GPT-4.1,en,bart,role_human,post_explosion_adjustment,-0.5523467934471143,-1.163831181914842,-0.6114843884677276,0.5523467934471143,1.163831181914842,0.6114843884677276,0.95,0.8,-0.1499999999999999
GPT-4.1,es,bart,role_human,post_explosion_adjustment,-0.5434699218463241,-0.4381076558920977,0.10536226595422643,0.5434699218463241,0.4381076558920977,-0.10536226595422643,0.95,0.95,0.0
GPT-4.1,zh-CN,bart,role_human,post_explosion_adjustment,-0.22027634721552505,-0.4652727756695266,-0.24499642845400152,0.22027634721552505,0.4652727756695266,0.24499642845400152,1.0,0.95,-0.050000000000000044
GPT-5.4,en,bart,role_human,post_explosion_adjustment,-1.5281216846610297,-1.362325073675805,0.1657966109852247,1.5281216846610297,1.362325073675805,-0.1657966109852247,0.7,0.8,0.10000000000000009
GPT-5.4 Mini,en,bart,role_human,post_explosion_adjustment,-1.3260570650227872,-1.2654376791313147,0.06061938589147253,1.3260570650227872,1.2654376791313147,-0.06061938589147253,0.7,0.8,0.10000000000000009
GPT-4.1,en,horizon,detailed,directed_exploration,-0.020132059264525083,0.4328392741873074,0.4529713334518325,0.020132059264525083,0.4328392741873074,0.4127072149227823,0.9,0.85,-0.050000000000000044
GPT-4.1,es,horizon,detailed,directed_exploration,1.1877914966070309,0.6744239853616217,-0.5133675112454091,1.1877914966070309,0.6744239853616217,-0.5133675112454091,0.6,0.75,0.15000000000000002
GPT-4.1,zh-CN,horizon,detailed,directed_exploration,-0.2617167704388381,-0.5938957483035161,-0.332178977864678,0.2617167704388381,0.5938957483035161,0.332178977864678,1.0,0.9,-0.09999999999999998
GPT-5.4,en,horizon,detailed,directed_exploration,-0.44290530381957055,-0.5334995705099381,-0.09059426669036758,0.44290530381957055,0.5334995705099381,0.09059426669036758,0.9,1.0,0.09999999999999998
GPT-5.4 Mini,en,horizon,detailed,directed_exploration,-2.164196370936541,-1.8924135708654402,0.2717828000711009,2.164196370936541,1.8924135708654402,-0.2717828000711009,0.45,0.5,0.04999999999999999
GPT-4.1,en,horizon,role_human,directed_exploration,-0.020132059264525083,-0.7146881038906719,-0.6945560446261468,0.020132059264525083,0.7146881038906719,0.6945560446261468,0.9,0.9,0.0
GPT-4.1,es,horizon,role_human,directed_exploration,1.1877914966070309,0.3120469186001515,-0.8757445780068793,1.1877914966070309,0.3120469186001515,-0.8757445780068793,0.6,0.9,0.30000000000000004
GPT-4.1,zh-CN,horizon,role_human,directed_exploration,-0.2617167704388381,0.13085838521941906,0.3925751556582572,0.2617167704388381,0.13085838521941906,-0.13085838521941906,1.0,0.85,-0.15000000000000002
GPT-5.4,en,horizon,role_human,directed_exploration,-0.44290530381957055,-0.5033014816131485,-0.06039617779357792,0.44290530381957055,0.5033014816131485,0.06039617779357792,0.9,0.95,0.04999999999999993
GPT-5.4 Mini,en,horizon,role_human,directed_exploration,-2.164196370936541,-1.6810269485879168,0.48316942234862426,2.164196370936541,1.6810269485879168,-0.48316942234862426,0.45,0.65,0.2
GPT-4.1,en,horizon,uncertainty_emphasis,directed_exploration,-0.020132059264525083,1.7313570967492309,1.751489156013756,0.020132059264525083,1.7313570967492309,1.7112250374847058,0.9,0.5,-0.4
GPT-4.1,es,horizon,uncertainty_emphasis,directed_exploration,1.1877914966070309,0.8254144298455646,-0.3623770667614663,1.1877914966070309,0.8254144298455646,-0.3623770667614663,0.6,0.8,0.20000000000000007
GPT-4.1,zh-CN,horizon,uncertainty_emphasis,directed_exploration,-0.2617167704388381,0.3120469186001528,0.573763689038991,0.2617167704388381,0.3120469186001528,0.0503301481613147,1.0,0.85,-0.15000000000000002
GPT-5.4,en,horizon,uncertainty_emphasis,directed_exploration,-0.44290530381957055,-0.4731033927163602,-0.030198088896789654,0.44290530381957055,0.4731033927163602,0.030198088896789654,0.9,0.9,0.0
GPT-5.4 Mini,en,horizon,uncertainty_emphasis,directed_exploration,-2.164196370936541,-2.1943944598333305,-0.030198088896789432,2.164196370936541,2.1943944598333305,0.030198088896789432,0.45,0.45,0.0
GPT-4.1,en,horizon,detailed,horizon_effect,-1.3860700472398388,-1.2426739232048036,0.1433961240350352,1.3860700472398388,1.2426739232048036,-0.1433961240350352,0.5,0.65,0.15000000000000002
GPT-4.1,es,horizon,detailed,horizon_effect,-1.0705985743627615,-0.9845608999417405,0.08603767442102106,1.0705985743627615,0.9845608999417405,-0.08603767442102106,0.8,0.7,-0.10000000000000009
GPT-4.1,zh-CN,horizon,detailed,horizon_effect,-1.2713531480118108,-1.1853154735907898,0.08603767442102095,1.2713531480118108,1.1853154735907898,-0.08603767442102095,0.6,0.75,0.15000000000000002
GPT-5.4,en,horizon,detailed,horizon_effect,-1.2426739232048036,-1.1853154735907898,0.05735844961401382,1.2426739232048036,1.1853154735907898,-0.05735844961401382,0.65,0.7,0.04999999999999993
GPT-5.4 Mini,en,horizon,detailed,horizon_effect,-1.4721077216608598,-1.0992777991697684,0.37282992249109137,1.4721077216608598,1.0992777991697684,-0.37282992249109137,0.7,0.7,0.0
GPT-4.1,en,horizon,role_human,horizon_effect,-1.3860700472398388,-1.300032372818818,0.08603767442102095,1.3860700472398388,1.300032372818818,-0.08603767442102095,0.5,0.65,0.15000000000000002
GPT-4.1,es,horizon,role_human,horizon_effect,-1.0705985743627615,-0.8698440007137122,0.20075457364904936,1.0705985743627615,0.8698440007137122,-0.20075457364904936,0.8,0.75,-0.050000000000000044
GPT-4.1,zh-CN,horizon,role_human,horizon_effect,-1.2713531480118108,-1.1279570239767756,0.1433961240350352,1.2713531480118108,1.1279570239767756,-0.1433961240350352,0.6,0.65,0.050000000000000044
GPT-5.4,en,horizon,role_human,horizon_effect,-1.2426739232048036,-1.300032372818818,-0.05735844961401426,1.2426739232048036,1.300032372818818,0.05735844961401426,0.65,0.7,0.04999999999999993
