model,prompt_language,task,prompt_condition,metric,abs_deviation_change,coverage_change,abs_ci_lower,abs_ci_upper,coverage_ci_lower,coverage_ci_upper
gpt-4.1-2025-04-14,en,horizon,detailed,directed_exploration,0.4127072149227823,-0.050000000000000044,-0.2818488297033633,0.754952222419722,-0.25,0.15000000000000002
gpt-4.1-2025-04-14,en,horizon,detailed,horizon_effect,-0.1433961240350352,0.15000000000000002,-0.659622170561162,0.37354690311126304,-0.1499999999999999,0.44999999999999996
gpt-4.1-2025-04-14,en,horizon,role_human,directed_exploration,0.6945560446261448,0.0,0.010066029632261886,0.9160086965359301,-0.15000000000000002,0.1499999999999999
gpt-4.1-2025-04-14,en,horizon,role_human,horizon_effect,-0.08603767442102095,0.15000000000000002,-0.40222612791827406,0.2294337984560566,-0.050000000000000044,0.35000000000000003
gpt-4.1-2025-04-14,en,horizon,uncertainty_emphasis,directed_exploration,1.7112250374847058,-0.4,0.865678548374616,2.144064311672014,-0.65125,-0.09999999999999998
gpt-4.1-2025-04-14,en,horizon,uncertainty_emphasis,horizon_effect,-0.6022637209471483,0.050000000000000044,-1.2618858915083102,0.05735844961401404,-0.25,0.35
gpt-4.1-2025-04-14,en,igt,detailed,advantageous_choice_rate,-0.2579912236195594,0.0,-0.42159541420757307,-0.09438703303154747,0.0,0.0
gpt-4.1-2025-04-14,en,igt,detailed,post_loss_switching_rate,-0.2574245680130912,0.0,-0.48626305695762284,-0.042430868497460146,0.0,0.0
gpt-4.1-2025-04-14,en,igt,role_human,advantageous_choice_rate,-0.037754813212617755,0.0,-0.22023641040693986,0.15101925285047368,0.0,0.0
gpt-4.1-2025-04-14,en,igt,role_human,post_loss_switching_rate,-0.15687149928992372,0.0,-0.41794521202641205,0.07596431180621345,0.0,0.0
gpt-4.1-2025-04-14,en,igt,reward_loss_emphasis,advantageous_choice_rate,0.3838406009949549,0.0,0.16360419058801368,0.5790644476485353,0.0,0.0
gpt-4.1-2025-04-14,en,igt,reward_loss_emphasis,post_loss_switching_rate,0.3821905986687284,0.0,0.0455955687932623,0.6838760800805829,0.0,0.0
gpt-4.1-2025-04-14,en,bart,detailed,adjusted_average_pumps,-0.07087782086021746,0.0,-0.26816006724340297,0.14204451534199866,0.0,0.0
gpt-4.1-2025-04-14,en,bart,detailed,explosion_rate,0.08307058676931303,0.0,-0.13709769771326114,0.22016828448257417,0.0,0.0
gpt-4.1-2025-04-14,en,bart,detailed,post_explosion_adjustment,0.8125905913414603,-0.19999999999999996,0.2712747496125463,1.3069414624451134,-0.4,0.0
gpt-4.1-2025-04-14,en,bart,role_human,adjusted_average_pumps,-0.11252048642495775,0.0,-0.40632801273107444,0.22382274270985927,0.0,0.0
gpt-4.1-2025-04-14,en,bart,role_human,explosion_rate,0.2091598702584452,0.0,0.07092229419289503,0.2862187698273469,0.0,0.0
gpt-4.1-2025-04-14,en,bart,role_human,post_explosion_adjustment,0.6114843884677276,-0.1499999999999999,0.27733739127069734,0.9223736818645363,-0.30000000000000004,0.0
gpt-4.1-2025-04-14,en,bart,risk_emphasis,adjusted_average_pumps,-0.03029554152436173,0.0,-0.20989472778786236,0.14499947511878686,0.0,0.0
gpt-4.1-2025-04-14,en,bart,risk_emphasis,explosion_rate,0.006011687200412813,0.0,-0.18714304181018782,0.1491210721140858,0.0,0.0
gpt-4.1-2025-04-14,en,bart,risk_emphasis,post_explosion_adjustment,0.26498455082907924,0.0,-0.09341407407402012,0.6435807264042138,-0.15000000000000002,0.15000000000000002
